id;uo;programa;acao;subacao;descricao_medida;descricao_produto;qtde_prevista orig;qtde_concedida;ind_meta_cumulativa;qtde_executada_até per;qtde exec orig;qtde exec red;qtde exec total (orig+red);eficácia final;valor_orcado;valor_emp orig;valor_liquid ;eficiência liq final;sequencia_sub_acao;Reforma
70;207;239;2371;21;Percentual de execução;Ação realizada;50;0;S;0;0;0;0;0;200000;0;0;0;1849;Antiga/Extinta
71;207;239;2371;28;Unidade;Evento realizado;12;0;S;0;0;0;0;0;0;0;0;0;2496;Antiga/Extinta
72;207;239;2375;2;Unidade;Ação realizada;2;0;S;1;0;0;0;0;0;0;0;0;1420;Antiga/Extinta
73;207;239;2375;9;Unidade;Ação realizada;1;0;S;0;0;0;0;0;0;0;0;0;1680;Antiga/Extinta
74;207;239;2375;10;Unidade;Evento realizado;1;0;S;0;0;0;0;0;0;0;0;0;1681;Antiga/Extinta
75;208;154;2369;1;Unidade;Projeto incentivado;150;0;S;33;33;0;0;0;12010000;1479527,58;1479527,58;0;2107;Antiga/Extinta
76;300;15;2007;2;Unidade;Campanha realizada;40;0;S;19;0;0;0;0;1000000;15394785,01;15394785,01;0;519;Antiga/Extinta
77;501;3;2830;2;Pessoa;Pessoa capacitada;84;0;S;30;30;0;30;0,357;50000;61276,14;60226,14;0,297;1036;Inalterada
78;600;9;1323;1;Unidade;Curso realizado;7;7;S;0;0;0;0;0;300000;0;0;0;2855;Nova
79;600;9;2023;1;Percentual de execução;Sistema implantado;31;31;S;0;0;0;0;0;6100000;0;0;0;2856;Nova
80;600;9;2023;3;Percentual de execução;Escritório implantado;20;20;S;0;0;0;0;0;100000;0;0;0;2858;Nova
81;600;9;2023;6;Percentual de execução;Sistema implantado;40;40;S;0;0;0;0;0;3000000;0;0;0;2860;Nova
82;600;9;2023;9;Percentual de execução;Processo modernizado;10;10;S;0;0;0;0;0;680000;0;0;0;2863;Nova
83;600;9;2023;10;Pessoa;Servidor capacitado;200;200;S;0;0;0;0;0;522000;0;0;0;2864;Nova
84;600;14;2809;5;Unidade;Sistema Implantado;1;1;S;0;0;0;0;0;17000;0;15956,38;0;2844;Nova
85;600;14;2889;3;Unidade;Módulo implantado;1;1;S;0;0;0;0;0;0;0;0;0;2847;Nova
86;600;144;2876;3;Unidade;Relatório publicado;1;1;S;0;0;0;0;0;4000;0;0;0;2852;Nova
87;600;144;2876;6;Unidade;Plataforma virtual implementada;1;1;S;0;0;0;0;0;40000;0;0;0;2853;Nova
88;600;222;2365;3;Percentual de execução;Sistema implantado;25;25;S;0;0;0;0;0;1998000;0;0;0;2869;Nova
89;600;222;2365;4;Percentual de execução;Central implantada;50;50;S;0;0;0;0;0;1400000;0;0;0;2870;Nova
90;600;222;2365;5;Percentual de execução;Central implantada;50;50;S;0;0;0;0;0;1400000;0;0;0;2871;Nova
91;600;222;2365;6;Unidade;SAC's Modernizados;2;2;S;0;0;0;0;0;500000;0;0;0;2872;Nova
92;600;220;2021;4;Pessoa;Beneficiário aderido;3600;3152;S;19;448;19;467;0,13;0;0;0;0;2851;Nova
93;600;14;2809;3;Pessoa;Pessoa capacitada;13758;11381;S;905;2377;905;3282;0,239;754000;0;0;0;2843;Nova
94;600;221;1373;7;Unidade;Praça com Internet disponibilizada;70;0;S;18;18;0;18;0,257;0;0;0;0;312;Nova
95;600;9;2023;2;Percentual de execução;Sistema modernizado;15;15;S;5;0;5;5;0,333;700000;0;0;0;2857;Nova
96;600;14;2809;16;Pessoa;Pessoa capacitada;987;861;S;259;126;259;385;0,39;614000;0;0;0;2846;Nova
97;600;14;2809;6;Unidade;Processo Seletivo realizado;5;4;S;2;1;2;3;0,6;130000;0;19144,57;4,074;2845;Nova
98;600;221;1373;5;Unidade;Vilas e Favelas com áreas de Internet disponibilizada;99;0;S;61;61;0;61;0,616;3102180;1484632,59;1115374,13;1,714;315;Nova
99;600;9;2365;1;Unidade;Atendimento realizado;1000000;539625;S;220156;460375;220156;680531;0,681;0;0;0;0;2865;Nova
100;600;9;2023;4;Unidade;Atividade realizada;500;400;S;275;100;275;375;0,75;3655000;0;0;0;2859;Nova
101;600;220;2021;3;Unidade;Servidor examinado;5500;2380;S;1235;3120;1235;4355;0,792;5070000;2483091,38;2483091,38;1,617;2850;Nova
102;600;9;2023;8;Percentual de execução;Arquivo público modernizado;20;3;S;0;17;0;17;0,85;1050000;0;0;0;2862;Nova
103;600;220;2021;1;Unidade;Unidade Implantada;120;48;S;32;72;32;104;0,867;1000;0;0;0;2848;Nova
104;600;220;2021;2;Pessoa;Pessoa imunizada;12500;1376;S;0;11124;0;11124;0,89;480000;0;0;0;2849;Nova
105;600;9;2365;2;Percentual de execução;Funcionalidade implantanda;10;3;S;3;7;3;10;0,95;910000;0;37998,97;22,751;2866;Nova
106;600;4;2518;2;Unidade;Orçamento Municipal elaborado / monitorado;1;1;S;1;0;1;1;1;0;0;0;0;2841;Nova
107;600;4;2518;3;Unidade;Plano Plurianual elaborado / monitorado;1;1;S;1;0;1;1;1;0;0;0;0;2842;Nova
108;600;221;1373;8;Unidade;Telecentro com programa implantado;252;0;N;258;258;0;258;1,024;0;0;0;0;1300;Nova
109;600;9;2365;7;Unidade;Atendimento realizado;800000;117266;S;354236;682734;354236;1036970;1,296;17306004;0;6311189,97;3,554;2867;Nova
110;600;9;2365;8;Percentual de execução;Sistema implantado;15;0;S;10;15;10;25;1,667;610000;0;45321,28;22,432;2868;Nova
111;600;240;2876;9;Unidade;Atividade realizada;1;0;N;1;0;0;0;0;0;0;0;0;2854;Nova
112;600;9;2023;7;Unidade;Fluxo customizado;500;0;S;500;500;0;500;1;100000;127840;127840;0,782;2009;Nova
113;604;85;2602;1;Percentual de execução;Processo implantado;85;0;N;56;56;0;56;0,659;2763416;1904296,68;1707598,68;1,066;288;Inalterada
114;604;85;2602;2;Percentual de execução;Data center adequado;20;0;N;20;20;0;20;1;40093989;27376317,52;26591637,07;1,508;284;Inalterada
115;604;85;2602;4;Percentual de execução;Processo implantado;100;0;S;0;0;0;0;0;206077;218749,97;140682,85;0;283;Inalterada
116;604;85;2602;5;Percentual;Parque computacional de desktop da PBH atualizado;25;0;S;8;8;0;8;0,329;39190;17243,69;8993,69;1,433;289;Inalterada
117;604;85;2602;6;Percentual;Redução da quantidade de dados mantidos em backup;75;0;S;0;0;0;0;0;1250000;0;0;0;292;Inalterada
118;604;85;2603;5;Percentual de execução;Processo de Software executado;50;0;S;0;0;0;0;0;0;0;0;0;1894;Inalterada
119;604;85;2604;1;Unidade;Centro de Inclusão digital ativo;302;0;N;302;302;0;302;1;2626011;1985606,15;1886308,35;1,392;303;Inalterada
120;604;85;2604;2;Unidade;Equipamento recondicionado;500;0;S;525;525;0;525;1,05;8500;0;0;0;301;Inalterada
121;604;85;2605;3;Unidade;Serviço monitorado;15;0;S;15;15;0;15;1;1904738;0;0;0;2485;Inalterada
122;604;85;2605;4;Unidade;Host monitorado;2500;0;S;451;451;0;451;0,18;0;0;0;0;2486;Inalterada
123;604;85;2605;5;Unidade;Núcleo implantado;2;0;N;0;0;0;0;0;0;0;0;0;2487;Inalterada
124;604;85;2605;6;Kilômetro;Fibra ótica instalada;10;0;S;36;36;0;36;3,6;6447263;2395734,25;1415330,98;16,399;2488;Inalterada
125;604;85;2605;7;Unidade;Ponto conetado com ativos de rede;107;0;S;91;91;0;91;0,85;9071758;2204931,82;1626161,38;4,744;2489;Inalterada
126;604;85;2605;8;Percentual de execução;Plano implantado;80;0;S;75;75;0;75;0,938;1180036;316109,35;310592,87;3,562;2490;Inalterada
127;604;85;2882;2;Percentual;Sistema atualizado;100;0;S;0;0;0;0;0;0;0;0;0;2491;Inalterada
128;604;85;2900;4;Pessoa;Pessoa capacitada;2000;0;S;1527;1527;0;1527;0,764;50000;6325,5;6325,5;6,035;282;Inalterada
129;604;237;2404;1;Unidade;Vaga disponibilizada;485;0;S;760;760;0;760;1,567;0;0;0;0;516;Inalterada
130;607;4;2518;2;Unidade;Orçamento Municipal elaborado / monitorado;1;0;S;0;0;0;0;0;0;0;0;0;1461;Antiga/Extinta
131;607;4;2518;3;Unidade;Plano Plurianual elaborado / monitorado;1;0;S;0;0;0;0;0;0;0;0;0;1462;Antiga/Extinta
132;610;14;2809;3;Pessoa;Pessoa capacitada;13758;0;S;2377;0;0;0;0;754000;0;0;0;1165;Antiga/Extinta
133;610;14;2809;5;Unidade;Sistema Implantado;1;0;S;0;0;0;0;0;17000;15956,38;15956,38;0;1324;Antiga/Extinta
134;610;14;2809;6;Unidade;Processo Seletivo realizado;5;0;S;1;0;0;0;0;130000;19144,57;19144,57;0;1167;Antiga/Extinta
135;610;14;2809;16;Pessoa;Pessoa capacitada;987;0;S;126;0;0;0;0;614000;0;0;0;2425;Antiga/Extinta
136;610;14;2889;3;Unidade;Módulo implantado;1;0;S;0;0;0;0;0;0;0;0;0;1179;Antiga/Extinta
137;610;220;2021;1;Unidade;Unidade Implantada;120;0;S;72;0;0;0;0;1000;0;0;0;1171;Antiga/Extinta
138;610;220;2021;2;Pessoa;Pessoa imunizada;12500;0;S;11124;0;0;0;0;480000;0;0;0;1172;Antiga/Extinta
139;610;220;2021;3;Unidade;Servidor examinado;5500;0;S;3120;0;0;0;0;5070000;2483091,38;2483091,38;0;1173;Antiga/Extinta
140;610;220;2021;4;Pessoa;Beneficiário aderido;3600;0;S;448;0;0;0;0;0;0;0;0;1174;Antiga/Extinta
141;612;144;2876;3;Unidade;Relatório publicado;1;0;S;0;0;0;0;0;4000;0;0;0;1949;Antiga/Extinta
142;612;144;2876;6;Unidade;Plataforma virtual implementada;1;0;S;0;0;0;0;0;40000;0;0;0;1951;Antiga/Extinta
143;612;240;2876;9;Unidade;Atividade realizada;1;0;N;0;0;0;0;0;1849210;0;0;0;2038;Antiga/Extinta
144;800;13;2052;4;Unidade;Imóvel recadastrado;4500;0;S;15683;23674;15683;39357;8,746;0;0;1478278,9;0;2614;Nova
145;801;13;2052;4;Unidade;Imóvel recadastrado;4500;0;S;23674;0;0;0;0;0;1478278,9;1478278,9;0;479;Antiga/Extinta
146;805;105;2652;5;Pessoa;Servidor capacitado;124;0;S;16;16;0;16;0,129;200000;39781,63;39461,63;0,654;2153;Inalterada
147;1000;120;2797;1;Unidade;Atendimento realizado;20000;0;S;28851;28851;0;28851;1,443;2308000;2448276,22;2448276,22;1,36;578;Nova
148;1000;120;2797;2;Unidade;Cadastro atualizado;34000;0;S;41736;41736;0;41736;1,228;0;0;0;0;579;Nova
149;1000;120;2797;3;Unidade;Cadastro Novo Realizado;18000;0;S;38016;38016;0;38016;2,112;1000;0;0;0;571;Nova
150;1000;120;2797;4;Unidade;Benefício trabalhado;15000;0;N;3215;3215;0;3215;0,214;0;0;0;0;572;Nova
151;1000;123;1345;1;Unidade;Local com sistema implantado;50;0;S;10;10;0;10;0,2;1000;0;0;0;574;Nova
152;1000;123;1345;2;Percentual de execução;Evolução executada;26;0;S;13;13;0;13;0,5;1269400;763749;222668,42;2,85;587;Nova
153;1000;123;2787;1;Unidade;Material cartográfico elaborado;180;0;S;0;0;0;0;0;5000;0;0;0;582;Nova
154;1000;123;2787;2;Unidade;Material produzido;12;0;S;4;4;0;4;0,333;0;0;0;0;583;Nova
155;1000;123;2787;3;Unidade;Ações Intersetoriais;500;0;S;17;17;0;17;0,034;6000;0;0;0;584;Nova
156;1000;127;2334;3;Unidade;Evento realizado;2;1;S;1;1;1;2;1;70000;0;30154;2,321;2626;Nova
157;1000;127;2335;1;Unidade;Atividade realizada;15;0;S;11;20;11;31;2,067;28000;0;64020;0,904;2630;Nova
158;1000;127;2335;2;Unidade;Oficina realizada;8;6;S;5;2;5;7;0,875;30000;0;0;0;2631;Nova
159;1000;127;2335;3;Unidade;Atividade realizada;10;10;S;19;0;19;19;1,9;30000;0;0;0;2634;Nova
160;1000;132;2120;2;Unidade;Refeição Servida;2500000;966461;S;876265;1533539;876265;2409804;0,964;1200000;0;758764,31;1,524;2674;Nova
161;1000;132;2120;4;Unidade;Refeição Servida;3000000;1690578;S;665310;1309422;665310;1974732;0,658;1000000;0;559597,56;1,176;2675;Nova
162;1000;132;2120;5;Quilo;Alimento doado;250000;136700;S;66483;113300;66483;179782;0,719;644000;0;224829,95;2,06;2676;Nova
163;1000;132;2120;6;Pessoa;Pessoa beneficiada;700;560;S;1908;140;1908;2048;2,926;1000;0;0;0;2677;Nova
164;1000;132;2120;7;Unidade;Refeição Servida;30000;0;S;38987;38987;0;38987;1,3;20000;1137,5;1137,5;22,85;27;Nova
165;1000;132;2121;1;Pessoa;Produtor beneficiado;300;247;S;41;53;41;94;0,313;1000;0;0;0;2682;Nova
166;1000;132;2121;2;Percentual de execução;Equipamento público implantado;40;40;S;0;0;0;0;0;1000;0;0;0;2685;Nova
167;1000;132;2121;3;Unidade;Projeto elaborado;5;5;S;5;0;5;5;1;1000;0;0;0;2687;Nova
168;1000;132;2121;5;Quilo;Alimento comercializado;1500000;1204467;S;122492;295533;122492;418024;0,279;2000;0;0;0;2688;Nova
169;1000;132;2121;6;Quilo;Alimento comercializado;250000;166825;S;36805;83175;36805;119980;0,48;1000;0;0;0;2689;Nova
170;1000;132;2121;7;Unidade;Horta ativa;230;230;N;151;151;151;151;0,657;42650;0;0;0;2690;Nova
171;1000;132;2121;8;Unidade;Pomar ativo;60;60;N;51;51;51;51;0,85;1800;0;0;0;2692;Nova
172;1000;132;2121;9;Pessoa;Pessoa atendida;400;400;S;0;0;0;0;0;1000;0;0;0;2696;Nova
173;1000;132;2121;10;Pessoa;Produtor beneficiado;40;40;N;56;8;56;56;1,4;1000;0;0;0;2697;Nova
174;1000;132;2305;1;Quilo;Alimento comercializado;40000000;18369568;S;9745702;21630432;9745702;31376134;0,784;1000;0;0;0;2702;Nova
175;1000;132;2305;2;Unidade;Feira realizada;61;61;N;61;61;61;61;1;0;0;0;0;2705;Nova
176;1000;163;2884;1;Pessoa;Pessoa capacitada;500;0;S;0;0;0;0;0;0;0;0;0;593;Nova
177;1000;163;2884;3;Unidade;Evento realizado;8;0;S;3;3;0;3;0,375;0;0;0;0;978;Nova
178;1000;234;1353;1;Unidade;Espaço implantado;54;0;N;34;0;34;34;0,63;2000;0;0;0;595;Nova
179;1000;234;2120;8;Unidade;Refeição Servida;750000;240951;S;243146;509049;243146;752195;1,003;450000;0;266267,88;1,695;2708;Nova
180;1000;234;2859;16;Unidade;Conselho modernizado;4;0;S;0;0;0;0;0;0;0;0;0;590;Nova
181;1000;234;2883;1;Família;Família atendida;3240;0;N;2041;0;2041;2041;0,63;0;0;0;0;575;Nova
182;1000;235;2120;9;Unidade;Refeição Servida;25000;908960;S;816180;17788;816180;833968;33,359;320200;0;112731,01;94,752;2712;Nova
183;1000;235;2345;6;Unidade;Atendimento realizado;2500000;7212;S;12471;1591040;12471;1603511;0,641;1200000;0;694637,53;1,108;2635;Nova
184;1000;236;2331;2;Pessoa;Pessoa Participante;9000;1556;S;4846;7444;4846;12290;1,366;40000;0;14132,1;3,865;2714;Nova
185;1000;236;2331;3;Pessoa;Pessoa Participante;5000;3259;S;2032;1741;2032;3773;0,755;500;0;0;0;2715;Nova
186;1000;236;2331;4;Unidade;Campanha realizada;5;2;S;3;3;3;6;1,2;1000;0;0;0;2716;Nova
187;1000;236;2331;5;Pessoa;Pessoa capacitada;400;46;S;203;354;203;557;1,393;72500;0;28997,07;3,482;2718;Nova
188;1000;236;2331;6;Pessoa;pessoa qualificada;660;204;S;269;456;269;725;1,098;122000;0;30364,53;4,414;2720;Nova
189;1000;236;2331;8;Unidade;Estudo / pesquisa realizado;12;6;S;0;6;0;6;0,5;57021;0;21373,02;1,334;2721;Nova
190;1000;236;2331;9;Pessoa;Pessoa atendida;2200;508;S;709;1692;709;2401;1,091;1000;0;0;0;2723;Nova
191;1000;236;2331;11;Unidade;Parecer emitido;200;0;S;75;208;75;283;1,415;0;0;0;0;2725;Nova
192;1000;236;2333;1;Unidade;Atividade realizada;120;0;S;45;195;45;240;2;5000;0;0;0;2637;Nova
193;1000;236;2333;2;Unidade;Grupo acompanhado;120;120;N;177;149;177;177;1,475;40000;0;8820;6,689;2641;Nova
194;1000;236;2333;3;Unidade;Ação realizada;4;1;S;2;3;2;5;1,25;2000;0;0;0;2649;Nova
195;1000;236;2333;4;Unidade;Ação realizada;8;1;S;6;7;6;13;1,625;70000;0;8202,64;13,867;2650;Nova
196;1000;236;2333;5;Unidade;Ação realizada;4;0;S;2;7;2;9;2,25;38000;0;0;0;2657;Nova
197;1000;236;2333;6;Unidade;Atividade realizada;80;0;S;56;188;56;244;3,05;70000;0;0;0;2658;Nova
198;1000;236;2333;8;Unidade;Ação realizada;40;22;S;37;18;37;55;1,375;348000;0;2300;208,043;2659;Nova
199;1000;236;2333;9;Unidade;Evento realizado;1;1;S;1;0;1;1;1;13000;0;0;0;2660;Nova
200;1000;236;2333;11;Unidade;Diagnóstico realizado;1;1;S;0;0;0;0;0;20000;0;0;0;2661;Nova
201;1000;236;2335;4;Unidade;Guia produzido;1;1;S;0;0;0;0;0;35000;0;0;0;2662;Nova
202;1000;236;2345;5;Unidade;Atendimento realizado;500;420;S;81;80;81;161;0,322;8000;0;0;0;2663;Nova
203;1000;236;2345;7;Unidade;Atendimento realizado;600;291;S;211;309;211;520;0,867;490300;0;2052,83;206,996;2664;Nova
204;1000;236;2819;3;Unidade;Conferência realizada;10;10;S;0;0;0;0;0;10000;0;0;0;2726;Nova
205;1000;236;2819;4;Unidade;Forum realizado;9;8;S;0;1;0;1;0,111;22500;0;2191;1,141;2728;Nova
206;1008;127;2334;3;Unidade;Evento realizado;2;0;S;1;0;0;0;0;70000;30154;30154;0;246;Antiga/Extinta
207;1008;127;2335;1;Unidade;Atividade realizada;15;0;S;20;0;0;0;0;28000;64020;64020;0;247;Antiga/Extinta
208;1008;127;2335;2;Unidade;Oficina realizada;8;0;S;2;0;0;0;0;30000;0;0;0;248;Antiga/Extinta
209;1008;127;2335;3;Unidade;Atividade realizada;10;0;S;0;0;0;0;0;30000;0;0;0;249;Antiga/Extinta
210;1008;235;2345;6;Unidade;Atendimento realizado;25000;0;S;17788;0;0;0;0;320200;112731,01;112731,01;0;2479;Antiga/Extinta
211;1008;236;2333;1;Unidade;Atividade realizada;120;0;S;195;0;0;0;0;5000;0;0;0;239;Antiga/Extinta
212;1008;236;2333;2;Unidade;Grupo acompanhado;120;0;N;149;0;0;0;0;40000;8820;8820;0;240;Antiga/Extinta
213;1008;236;2333;3;Unidade;Ação realizada;4;0;S;3;0;0;0;0;2000;0;0;0;241;Antiga/Extinta
214;1008;236;2333;4;Unidade;Ação realizada;8;0;S;7;0;0;0;0;70000;8202,64;8202,64;0;242;Antiga/Extinta
215;1008;236;2333;5;Unidade;Ação realizada;4;0;S;7;0;0;0;0;38000;0;0;0;243;Antiga/Extinta
